id,fullname,shortname,ttl,region,country,practicearea,productline,netcommitment,status,processingtype,approvalfy,closingfy
P122778,Assessing Development Impacts on Rural Vulnerability and Resilience,Rural Vulnerabity Study,Craig M. Meisner,Europe And Central Asia,Tajikistan,Agriculture and Food,,null,Closed,,2012,
P124207,Extension evaluation and lessons,Extension evaluation and lessons,Riikka Rajalahti,Other,World,Agriculture and Food,,null,Closed,,2012,
P118789,Capacity for women's organizations SSA,Capacity for womens' organizations SSA,Eija Pehu,Africa,Africa,Agriculture and Food,,null,Closed,,2012,
P130515,DJ-Rural Community Development & Ware Mobilization - Additional Financing,DJ-Rural CDD & Water Mobilization AF,Mohamed Medouar,Middle East And North Africa,Djibouti,Agriculture and Food,,3,Active,,2012,
P123313,El Salvador: Assessment of Land Tenure Issues,SV Land Tenure,Robin Michael Rajack,Latin America And Caribbean,El Salvador,Agriculture and Food,,null,Closed,,2012,
P113273,LR Smallholder Tree Crop Revitalization Support Project,LR-Smallholder Tree Crop Project,Abimbola Adubi,Africa,Liberia,Agriculture and Food,,15,Closed,,2012,2019
P126784,Responding to Global Food Price Volatility and its Impact on Food Security,Response to Global Food Price Volatility,Robert Townsend,Other,World,Agriculture and Food,,null,Closed,,2012,
P121368,Capacity Building for Agricultural Carbon Project Development,Agricultural Carbon Project Develop.,Johannes Woelcke,Africa,Africa,Agriculture and Food,,null,Closed,,2012,
P130546,Bihar Rural Livelihood Project Additional Financing,Bihar Rural Livelihoods Project Add Fin,Parmesh Shah,South Asia,India,Agriculture and Food,,100,Closed,,2012,
P127360,Promoting Broad Based Agriculture Growth in Sri Lanka - Policy and Investment Priorities,LK: Ag Sector Priorities,Norman Bentley Piccioni,South Asia,Sri Lanka,Agriculture and Food,,null,Closed,,2012,
P129565,West Africa Agricultural Productivity Program 2A,West Africa Agric. Productivity Prog. 2A,"Aifa Fatimata Ndoye Niane, Kadir Osman Gyasi, Abdoulaye Toure",Africa,Western Africa,Agriculture and Food,,120,Closed,,2012,2019
P117357,Improving Food Import Supply Chains in Arab Countries,5M-Improving Food Import Supply Chains,Julian A. Lampietti,Middle East And North Africa,Middle East and North Africa,Agriculture and Food,,null,Closed,,2012,
P131019,,TD-Ag.Prod. Support Project GEF (PSG),Jane C. Hopkins,Africa,Chad,Agriculture and Food,,4.63,Closed,,2012,2017
P126576,Agriculture Production Support Project,CD-Ag. Production Support Project,Amadou Ba,Africa,Chad,Agriculture and Food,,25,Closed,,2012,2017
P122808,Ghana Fourth Agriculture Development Policy Operation,GH Fourth Agriculture DPO,Jan Joost Nijhoff,Africa,Ghana,Agriculture and Food,,50,Closed,,2012,2013
P143329,The Gambia Emergency Agricultural Production Support Project,Emergency Agric Production Support Proj.,Kadir Osman Gyasi,Africa,"Gambia, The",Agriculture and Food,,2.85,Closed,,2012,2015
P121291,Cameroon Marine Fisheries Sector ESW,CM: Marine Fisheries Sector,Xavier F. P. Vincent,Africa,Cameroon,Agriculture and Food,,null,Closed,,2012,
P126695,Agribusiness Indicators- Mozambique,Agribusiness Indicators- Mozambique,Grahame Dixie,Africa,Southern Africa,Agriculture and Food,,null,Closed,,2012,
P126195,Agribusiness Indicators- Ethiopia,Agribusiness Indicators- Ethiopia,Grahame Dixie,Africa,Africa,Agriculture and Food,,null,Closed,,2012,
P124234,Measuring Soil Carbon,Measuring Soil Carbon,Ademola Braimoh,Other,World,Agriculture and Food,,null,Closed,,2012,
P119165,Agribusiness Indicators-Ghana,Agribusiness Indicators- Ghana,Grahame Dixie,Africa,Ghana,Agriculture and Food,,null,Closed,,2012,
P118518,Moldova Agriculture Competitiveness Project,Agriculture Competitiveness Project,Anatol Gobjila,Europe And Central Asia,Moldova,Agriculture and Food,,18,Active,,2012,2021
P125726,AFSF - Africa - Madagascar - AccèsBanque Madagascar (ABM),AFSF - Africa - Madagascar - ABM,Roy Parizat,Africa,Madagascar,Agriculture and Food,,0.05,Closed,,2012,2015
P143192,Emergency Livestock Feed Access Project,Emergency Livestock Feed Access Project,Elisee Ouedraogo,Africa,Burkina Faso,Agriculture and Food,,2.85,Closed,,2012,2016
P119160,RY-Biogas Digesters: An Integrated Solution for Poverty Alleviation and Climate Change Mitigation in Yemen,RY-Biogas Digesters,Garry Charlier,Middle East And North Africa,"Yemen, Republic of",Agriculture and Food,,2.61,Closed,,2012,2014
P130536,Agriculture Risk Decision Tools for Farmer Empowerment,Agric Risk Decision Tools for Farmers,Pai-Yei Whung,Other,World,Agriculture and Food,,null,Active,,2012,
P130506,Building Capacity in Food Safety,Building Capacity in Food Safety,Steven M. Jaffee,Other,World,Agriculture and Food,,null,Active,,2012,
P129168,Food Safety Capacity Building IDF,IDF-FOOD SAFETY,Arusyak Alaverdyan,Europe And Central Asia,Armenia,Agriculture and Food,,0.45,Closed,,2012,2016
P126833,FATA Rural Livelihoods and Community Infrastructure Project (RLCIP),PK: FATA Rural Livelihoods & Infra,Maha Ahmed,South Asia,Pakistan,Agriculture and Food,,12,Closed,,2012,2019
P121167,Ceara Rural Sustainable Development and Competitiveness,BR Ceara Rural Sustainb&Competitiveness,Barbara Cristina Noronha Farinelli,Latin America And Caribbean,Brazil,Agriculture and Food,,100,Closed,,2012,2019
P128217,AFSF - Financing Agriculture Forum 2011,AFSF - Financing Agriculture Forum 2011,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2012,
P117899,Piloting the Intensification of Livestock Production Systems in the North West Region of Cameroon: A South-to-South Collaboration,Piloting intensification of livestock,Francois G. Le Gall,Africa,Cameroon,Agriculture and Food,,null,Closed,,2012,
P128141,AFR Ministerial Conf. Climate Smart Agri,AFR Ministerial Conf. Climate Smart Agri,Patrick Vincent Verkooijen,Africa,Africa,Agriculture and Food,,null,Closed,,2012,
P114930,Philippines: Infrastructure Constraints to the Nonfarm Rural Economy,PH Nonfarm AAA,Fabrizio Bresciani,East Asia And Pacific,Philippines,Agriculture and Food,,null,Closed,,2012,
P113700,PH: Technical Assistance for Agricultural Policy Reform,PH - TA for Ag Policy Reform,Fabrizio Bresciani,East Asia And Pacific,Philippines,Agriculture and Food,,null,Closed,,2012,
P113180,Operational Sourcebook on Weather Index Insurance,Operational Sourcebook Weather Insurance,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2012,
P115351,Samoa Agriculture Competitiveness Enhancement Project,Samoa Agriculture Competitiveness Enhanc,Stephane Forman,East Asia And Pacific,Samoa,Agriculture and Food,,8,Closed,,2012,2019
P124614,Rajasthan Agricultural Competitiveness Project,IN: Rajasthan ACP,Edward William Bresnyan,South Asia,India,Agriculture and Food,,109,Active,,2012,2020
P128576,Additional Financing to the Malawi Agricultural Development Program Support Project,MW-Add Fin to Ag Dev Prg Support Project,Valens Mwumvaneza,Africa,Malawi,Agriculture and Food,,30,Closed,,2012,
P114264,Ghana Commercial Agriculture,Ghana Commercial Agriculture,"Sheu Salau, Hardwick Tchale",Africa,Ghana,Agriculture and Food,,100,Active,,2012,2021
P125999,PK Punjab Irrig Agri Productivity Improvement Program Project,PK:Punjab Irrigated Agriculture Producti,"Guo Li, Maha Ahmed",South Asia,Pakistan,Agriculture and Food,,250,Active,,2012,2022
P107648,National Dairy Support Project,National Dairy Support Project,"Edward William Bresnyan, Shanker Lal",South Asia,India,Agriculture and Food,,352,Closed,,2012,2020
P119526,South Sudan: Strategy for Realization of Agricultural Potential through Infrastructure Investments,South Sudan: How to Realize Ag Potential,Sergiy Zorya,Africa,South Sudan,Agriculture and Food,,null,Closed,,2012,
P129686,IN - Assam Agricultural Competitiveness Project Additional Financing,IN:  Assam Agr Comp AF,Manivannan Pathy,South Asia,India,Agriculture and Food,,50,Closed,,2012,
P120139,Pernambuco Rural Economic Inclusion,BR Pernambuco - Rural Economic Inclusion,"Maria de Fatima de Sousa Amazonas, Juliana Menezes Garrido",Latin America And Caribbean,Brazil,Agriculture and Food,,100,Active,,2012,2020
P126440,Third Rural Sector Support Project,RW: Third Rural Sector Support Project,"Aimee Marie Ange Mpambara, Winston Dawes",Africa,Rwanda,Agriculture and Food,,80,Closed,,2012,2019
P118751,AIS Investment Sourcebook,AIS Investment Sourcebook,Eija Pehu,Other,World,Agriculture and Food,,null,Closed,,2012,
P130024,Governance Reforms Supporting Frontline Agricultural Services and Inve,Agri Services and Investment Delivery,Felizardo Jr K. Virtucio,East Asia And Pacific,Philippines,Agriculture and Food,,3,Closed,,2012,
P122123,Zambia: Livestock Development and Animal Health Project,ZM:Livestock Develop & Animal Health Prj,Alex Mwanakasale,Africa,Zambia,Agriculture and Food,,50,Closed,,2012,2018
P126068,BH MOF Red Meat Subsidy - Supply Side,BH MOF Red Meat Subsidy - Supply Side,Maurice Saade,Middle East And North Africa,Bahrain,Agriculture and Food,,null,Closed,,2012,
P128744,Nepal: Making markets work for the conflict affected in Nepal,NP: Making markets work for conflict aff,Vinayak Narayan Ghatate,South Asia,Nepal,Agriculture and Food,,2.65,Closed,,2012,2018
P104866,"Africa Rural Market Program: Policy Dialogue, Capacity-Building, and Regional Coordination",3A-Africa Rural Market Program (FY10),Josef Ludger Loening,Africa,Africa,Agriculture and Food,,null,Closed,,2012,
P119104,AFSF Major Activity 3 - Proj. Mngt,AFSF - Proj. Management & Steering Com.,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2012,
P116442,AFSF - Program Mgmt and Admin,AFSF - Program Mgmt and Admin,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2012,
P112065,PROFOR Innovative Financing:opportunies for financing while addressing climate change,Innovative Financing_PHASE2,Peter A. Dewees,Other,World,Agriculture and Food,,null,Closed,,2012,
P127176,LA-Khammouane Development-Additional Financing Project,Khammouane Development - AF Project,Sybounheung Phandanouvong,East Asia And Pacific,Lao People's Democratic Republic,Agriculture and Food,,8.6,Closed,,2012,
P130418,Environmentally Sustainable Cacao Production for small-scale Indigenous Peoples and Afro-descendant Farmers in Honduras,HN  Env. Sustainable Cacao Prod.,Mary Lisbeth Gonzalez,Latin America And Caribbean,Honduras,Agriculture and Food,,2.45,Closed,,2012,2016
P120411,Supporting Gender in Agriculture in MENA Region,5M-Supporting Gender in Agriculture,Pierre Rondot,Middle East And North Africa,Middle East and North Africa,Agriculture and Food,,null,Closed,,2012,
P122230,Agricultural Risk Management Training,Agricultural Risk Management Training,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2012,
P122228,Supply Chain Risk Management,Supply Chain Risk Management,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2012,
P122227,Weather Risk Management,Weather Risk Management,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2012,
P122212,Commodity Risk Management,Commodity Risk Management,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2012,
P118482,Forum on Agricultural Risk Management in Development,ARM Forum,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2012,
P117445,Agricultural Risk Management Capacity Transfer to Regions,Agri RM Capacity Transfer to Regions,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2012,
P121710,Assessment of impact of staff training on rural banks in Ghana,Impact assessment of training for FIs,Marc Peter Sadler,Africa,Ghana,Agriculture and Food,,null,Closed,,2012,
P118905,MG - Agricultural Markets  ESW,MG-Agricultural Markets ESW,Michael Morris,Africa,Madagascar,Agriculture and Food,,null,Closed,,2012,
P102330,North East Rural Livelihoods Project (NERLP),IN: North East Rural Livelihoods Project,"Priti Kumar, Varun Singh",South Asia,India,Agriculture and Food,,130,Closed,,2012,2020
P125484,TANZANIA AGRICULTURAL SECTOR DEVELOPMENT PROJECT- PHRD ADDITIONAL FINANCING,TZ:ASDP: Japan-PHRD Additional Financing,Abel Lufafa,Africa,Tanzania,Agriculture and Food,,14.25,Closed,,2012,
P123894,LK: Agricultural Trade and Price Policy,LK: Agricultural Trade and Price Policy,Norman Bentley Piccioni,South Asia,Sri Lanka,Agriculture and Food,,null,Closed,,2012,
P108874,PH - Rural Poverty Program Assessment,PH - Rural Poverty Program Assessment,Fabrizio Bresciani,East Asia And Pacific,Philippines,Agriculture and Food,,null,Closed,,2012,
P126744,Relaunching Agriculture: Strengthening Agriculture Public Services II Project (GAFSP - IDA),HT Relaunching Agriculture: RESEPAG II,Remi Charles Andre Trier,Latin America And Caribbean,Haiti,Agriculture and Food,,40,Active,,2012,2022
P108500,Action Learning for Inclusive Livelihoods Development Fund,REG: Livelihoods Action Learning Fund,Natasha Hayward,South Asia,South Asia,Agriculture and Food,,null,Closed,,2012,
P127507,Agricultural Growth Project - Additional Financing,ET: AF Agricultural Growth Program,Andrew D. Goodland,Africa,Ethiopia,Agriculture and Food,,50,Closed,,2012,2016
P126840,DO AF to Emergency Recovery & Disaster Management.,DO (AF-C) to Emerg. & Disaster Mgt,Remi Charles Andre Trier,Latin America And Caribbean,Dominican Republic,Agriculture and Food,,20,Closed,,2012,
P124181,Sustainable Management of Natural Resources and Climate Change,UY Sust.Mgmt  Nat Res & Climate Change,Katie Kennedy Freeman,Latin America And Caribbean,Uruguay,Agriculture and Food,,49,Active,,2012,2022
P119432,Lesotho Smallholder Agriculture Development Project,LS - Smallholder Agriculture Dev Project,"Bobojon Yatimov, Meeta Sehgal",Africa,Lesotho,Agriculture and Food,,10,Closed,,2012,2020
P124732,AFSF - Africa - Mozambique - Banco Oportunidade - BOM,AFSF - Africa - Mozambique BOM,Roy Parizat,Africa,Mozambique,Agriculture and Food,,0.05,Closed,,2012,2015
P118486,CRMG Program Mgt,CRMG  Program Mgt (OLD),Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2012,
P119166,Food Safety Capacity Building Partnership,Food Safety Capacity-Building,Jean Kamanzi,Other,World,Agriculture and Food,,null,Closed,,2012,
P107956,Donor Cordination - Livestock,Donor Cordination - Livestock,Francois G. Le Gall,Other,World,Agriculture and Food,,null,Closed,,2012,
P125439,Financing African Agriculture,Financing African Agriculture,Marc Peter Sadler,Africa,Africa,Agriculture and Food,,null,Closed,,2012,
P128143,SOMALIA: Drought Management and Livelihood Protection,SO-Drought Management & Livelihood (RE),Stephane Forman,Africa,Somalia,Agriculture and Food,,9,Closed,,2012,2013
P125974,Pakistan Agriculture Policy and Investment Priorities Roundtable,PK Agriculture Policy Priorities Roundta,Melissa Williams,South Asia,Pakistan,Agriculture and Food,,null,Closed,,2012,
P121282,Capturing and applying implementation experiences,Beyond HPAI: GPAI experiences report,James Wilson Smith,Other,World,Agriculture and Food,,null,Closed,,2012,
P123457,Bangladesh Integrated Agricultural Productivity Project,BD Integrated Agricultural Productivity,"Manievel Sene, Sugata Talukder",South Asia,Bangladesh,Agriculture and Food,,46.31,Closed,,2012,2017
P125720,Pacific Catastrophe Risk Assessment Geonode,4P-Catastro Risk Assess.Geonode Innov TA,Iain G. Shuker,East Asia And Pacific,Pacific Islands,Agriculture and Food,,null,Closed,,2012,
P121222,AFSF Grant to Banque populaire du Rwanda S.A.,AFSF - Africa - Rwanda - BPR,Ajai Nair,Africa,Rwanda,Agriculture and Food,,1,Closed,,2012,2013
P107137,BO PICAR Community Investment in Rural Areas,BO PICAR Comm. Investment in Rural Areas,Garry Charlier,Latin America And Caribbean,Bolivia,Agriculture and Food,,40,Active,,2012,2020
P106700,Agricultural Innovation and Services,BO Agricultural Innovation and Services,"Francisco Javier Obreque Arqueros, Michael Morris",Latin America And Caribbean,Bolivia,Agriculture and Food,,39,Closed,,2012,2017
P116598,SUPPORT TO APICULTURAL PROMOTION PROJECT,BJ:SUPPORT TO APICULTURAL PROMOTION PRO,Erick Herman Abiassi,Africa,Benin,Agriculture and Food,,2.67,Closed,,2012,2016
P107993,Good governance in land administration,Governance in land administration,Klaus W. Deininger,Other,World,Agriculture and Food,,null,Closed,,2012,
P104164,National Rural Livelihoods Project,IN: National Rural Livelihoods Project,Gayatri Acharya,South Asia,India,Agriculture and Food,,1000,Active,,2012,2023
P124801,Chad Agricultural Sector Strategy Support,Chad Ag Sector Strategy Support,Michael Morris,Africa,Chad,Agriculture and Food,,null,Closed,,2011,
P122858,PROGRAMMATIC FOOD SAFETY TA - 2,PROGRAMMATIC FOOD SAFETY TA - 2,Brian G. Bedard,Europe And Central Asia,Turkey,Agriculture and Food,,null,Closed,,2011,
P122792,Agricultural Policy Update 2010,FY11- AG POLICY UPDATE,Peter Goodman,Europe And Central Asia,Kyrgyz Republic,Agriculture and Food,,null,Closed,,2011,
P120713,MN Reducing vulnerability of Mongolian herders to climatic risks,MN Reducing Vulnerability of Herders,Andrew D. Goodland,East Asia And Pacific,Mongolia,Agriculture and Food,,null,Closed,,2011,
P119687,DM2008: SUPPORT TO INNOVATIVE ACTIVITIES AT THE COMMUNITY LEVEL,DM2008: SUPPORT TO INNOVATIVE ACTIVITIES,Fionna Douglas,Other,World,Agriculture and Food,,null,Closed,,2011,
P118838,Agricultural Productivity Assistance Project,AG PROD,Sandra Broka,Europe And Central Asia,Kyrgyz Republic,Agriculture and Food,,6.85,Closed,,2011,2016
P118796,CIRAD Innovation symposium,CIRAD Innovation symposium,Riikka Rajalahti,Other,World,Agriculture and Food,,null,Closed,,2011,
P114916,Extreme Weather Events and their Impacts on the Welfare of the Poor: Policy Lessons for APEC from Mexico and Indonesia,Extreme Weather Mexico & Indonesia,Emmanuel Skoufias,East Asia And Pacific,East Asia and Pacific,Agriculture and Food,,null,Closed,,2011,
P114239,ARD Support to Global Donor Platform for Rural Development,ARD Support to GDPRD,Fionna Douglas,Other,World,Agriculture and Food,,null,Closed,,2011,
P112421,"Climate Change, Agricultural Productivity and Rural Poverty in India","Climate Change, Agr Prod, Rur Pov India",Emmanuel Skoufias,South Asia,India,Agriculture and Food,,null,Closed,,2011,
P110408,Madagascar Multi-Donors Secretariat,MG-Multi-Donors Secretariat,Michael Morris,Africa,Madagascar,Agriculture and Food,,null,Closed,,2011,
P099155,Avian Influenza Country Assessments - MENA,MNA-Avian Influenza Country Assessments,Maurice Saade,Middle East And North Africa,Middle East and North Africa,Agriculture and Food,,null,Closed,,2011,
P125381,Southern Sudan Emergency Food Crisis Response Project,SD:Additional Financing - Food Crisis,Abel Lufafa,Africa,South Sudan,Agriculture and Food,,2.2,Closed,,2011,
P121196,Tunisia Agricultural Finance  ESW,TN-Agricultural Finance,William R. Sutton,Middle East And North Africa,Tunisia,Agriculture and Food,,null,Closed,,2011,
P120701,Samoa Agriculture Sector Strategy,Samoa Agriculture Sector Strategy,Mona Sur,East Asia And Pacific,Samoa,Agriculture and Food,,null,Closed,,2011,
P119600,Swaziland-Rural Sector Review,SZ-Rural Sector Review,Pedro Arlindo,Africa,Eswatini,Agriculture and Food,,null,Closed,,2011,
P112575,Agricultural Investment Note,Agricultural Investment Note,Matthias Grueninger,Europe And Central Asia,Ukraine,Agriculture and Food,,null,Closed,,2011,
P102871,Brazil Land Management and Governance,BR Land Management and Governance,Robin Michael Rajack,Latin America And Caribbean,Brazil,Agriculture and Food,,null,Closed,,2011,
P119846,Agro-climatic tools to assess climate change impacts on crop production and food security and to identify adaptive responses,6L-Climate Change Impacts on Land Use,Erick C.M. Fernandes,Latin America And Caribbean,Latin America,Agriculture and Food,,null,Closed,,2011,
P115676,ARD TF Administration,TF Administration,Mark E. Cackler,Other,World,Agriculture and Food,,null,Closed,,2011,
P125471,Food security and food price volatility: the need for collective actions,G20 (France) - Food Price Volatility,Christopher L. Delgado,Other,World,Agriculture and Food,,null,Closed,,2011,
P120702,BIOGAS GENERATION FROM ANIMAL MANURE PILOT,BIOGAS GENERATION FROM ANIMAL MANURE,Sandra Broka,Europe And Central Asia,Moldova,Agriculture and Food,,0.98,Closed,,2011,2015
P109101,Pacific Islands Regional Fisheries,Pacific Islands Regional Fisheries,Charles M. Feinstein,East Asia And Pacific,Pacific Islands,Agriculture and Food,,null,Closed,,2011,
P107912,Stds&Trade Devt Facility/Aid for Trade,Stds&Trade Devt Facility/Aid for Trade,Jean Kamanzi,Other,World,Agriculture and Food,,null,Closed,,2011,
P125440,Cracking the Nut of Agricultural Finance,Cracking the Nut of Agricultural Finance,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2011,
P114210,Ukraine - Impact of the envisaged FTA with the EU on agriculture,Ukraine - Impact of FTA on agriculture,Matthias Grueninger,Europe And Central Asia,Ukraine,Agriculture and Food,,null,Closed,,2011,
P112149,Trade Standards Practitioners Network,TSPN as Sustainable Entity,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2011,
P118631,Chile (FBS) Developing a vision for the agricultural innovation system towards 2030,CL RAS Agricultural innovation for 2030,Wilhelmus Gerardus Janssen,Latin America And Caribbean,Chile,Agriculture and Food,,null,Closed,,2011,
P117355,DJ-Rural Community Development and Water Mobilization Project (PRODERMO),DJ-Rural CDD & Water Mobilization,Mohamed Medouar,Middle East And North Africa,Djibouti,Agriculture and Food,,5.83,Closed,,2011,2020
P112526,Agriculture and Rural Development,AG & RURAL DEVT,Silvia Mauri,Europe And Central Asia,Kosovo,Agriculture and Food,,20.15,Active,,2011,2021
P115519,"VTN Agriculture, Rural & NRM ESW Program FY09-FY11",VN-Cluster- Agriculture and Rural ESW,Steven M. Jaffee,East Asia And Pacific,Vietnam,Agriculture and Food,,null,Closed,,2011,
P126382,East Africa - Cotton Price Risk Mgm,East Africa - Cotton Price Risk Mgm,Marc Peter Sadler,Africa,Africa,Agriculture and Food,,null,Closed,,2011,
P127007,Timor Leste Agricultural Productivity II,Timor Leste Agricultural Productivity II,Charles M. Feinstein,East Asia And Pacific,Timor-Leste,Agriculture and Food,,null,Closed,,2011,
P115197,AGRICULTURAL BUDGET REVISION & POLICY REFORM TA,AGRICULTURAL BUDGET REVISION & POLICY,Matthias Grueninger,Europe And Central Asia,Moldova,Agriculture and Food,,null,Closed,,2011,
P118654,,ZA-Rural Development and Land Reform,Guo Li,Africa,South Africa,Agriculture and Food,,null,Closed,,2011,
P118650,,Mozambique: Land Policy Notes,Guo Li,Africa,Mozambique,Agriculture and Food,,null,Closed,,2011,
P117322,Understanding the gender dimension of trade markets in Afghanistan,AF: Gender and Trade,Jennifer Solotaroff,South Asia,Afghanistan,Agriculture and Food,,null,Closed,,2011,
P124278,CAR-Agro-Pastoral Recovery Project,CAR-Agro-Pastoral Recovery Project (ERL),Bleoue Nicaise Ehoue,Africa,Central African Republic,Agriculture and Food,,23.8,Closed,,2011,2017
P118753,ICT in Agriculture Sourcebook,ICT in Agriculture Sourcebook,Eija Pehu,Other,World,Agriculture and Food,,null,Closed,,2011,
P117063,Support to Impact Evaluation of the Gambia CDD,GM: Impact Evaluation of Gambia CDD,Manievel Sene,Africa,"Gambia, The",Agriculture and Food,,null,Closed,,2011,
P122796,Ghana Third Agriculture Development Policy Operation,GH Third Agriculture DPO,Jan Joost Nijhoff,Africa,Ghana,Agriculture and Food,,57,Closed,,2011,2012
P125256,Rural and Private Sector Development Additional Financing,SL:Rural & Private Sector Devt. Add Fin.,Charles Annor-Frempong,Africa,Sierra Leone,Agriculture and Food,,20,Closed,,2011,
P112623,CORAF Trust Fund,CORAF Trust Fund,Abdoulaye Toure,Africa,Western Africa,Agriculture and Food,,34.6,Closed,,2011,2017
P111794,Support to Impact Evaluation of The Gambia CDDP,GM: Impact Evaluation of Gambia CDD,Manievel Sene,Africa,"Gambia, The",Agriculture and Food,,null,Closed,,2011,
P117081,Integrating Climate Change in the Implementation of the Plan Maroc Vert,MA-GEF Integrating CC in the PMV,Gabriella Izzi,Middle East And North Africa,Morocco,Agriculture and Food,,4.35,Closed,,2011,2016
P125585,NG:Fadama Information&Knowledge Services,NG:Fadama Information&Knowledge Services,Aparajita Goyal,Africa,Nigeria,Agriculture and Food,,2.74,Closed,,2011,2015
P122143,AFSF - Africa - Uganda Centenary Bank,AFSF - Africa - Uganda - Centenary Bank,Moses K. Kibirige,Africa,Uganda,Agriculture and Food,,0.65,Closed,,2011,2015
P102530,Review of Agricultural Public Expenditures in Developing Countries with DIFID,Agriculture PER (DIFID) - Final Report,Yurie Tanimichi Hoberg,Other,World,Agriculture and Food,,null,Closed,,2011,
P123392,ICTs and Rural Finance,ICTs and Rural Finance,Renate Kloppinger Todd,Other,World,Agriculture and Food,,null,Closed,,2011,
P124088,Additional Financing to the Poverty Alleviation Fund II,NP:  PAF Nepal-AF,Mio Takada,South Asia,Nepal,Agriculture and Food,,65,Active,,2011,2014
P118552,Kiribati Food Crisis Response Operation,Kiribati Food Crisis Response Operation,Kofi Nouve,East Asia And Pacific,Kiribati,Agriculture and Food,,2,Closed,,2011,2013
P118045,Togo Agricultural Sector Support Project,TG:Agricultural Sector Support Project,Erick Herman Abiassi,Africa,Togo,Agriculture and Food,,9,Active,,2011,2020
P124785,"Rwanda Land, husbandry water harvesting and hillside irrigation","Rwanda Land, husbandry water harvesting","Valens Mwumvaneza, Kevin John Crockford",Africa,Rwanda,Agriculture and Food,,0,Active,,2011,2016
P102459,Irrigation Development and Support Project,ZM- Irrigation Development Project(FY10),"Hazem Ibrahim Hanbal, Anna Cestari, Tahira Syed",Africa,Zambia,Agriculture and Food,,115,Active,,2011,2021
P126018,RESPONDING TO GLOBAL FOOD PRICE VOLATILITY AND ITS IMPACT ON FOOD SECURITY,Dev Cttee Paper - Food Price Volatility,Robert Townsend,Other,World,Agriculture and Food,,null,Closed,,2011,
P125478,First Agrifin Knowledge Exchange,First Agrifin Knowledge Exchange,Marc Peter Sadler,Other,World,Agriculture and Food,,null,Closed,,2011,
P121902,ARD Support to COP16,ARD Support to COP16,Patrick Vincent Verkooijen,Other,World,Agriculture and Food,,null,Closed,,2011,
P116127,The Political Economy of Fisheries Reform - Lessons and Applications for Development Assistance,Political Economy of Fisheries Reform,Michael Willis Arbuckle,Other,World,Agriculture and Food,,null,Closed,,2011,
P125608,PRACTITIONERS' TOOLKIT FOR AGRICULTURE PER ANALYSIS,ARD  - AG. PER TOOL KIT,Robert Townsend,Other,World,Agriculture and Food,,null,Closed,,2011,
P100393,,Smallholders & Global Supply Chains,Steven M. Jaffee,Africa,Africa,Agriculture and Food,,null,Closed,,2011,
P118721,Policy Note on Land Administration,ET:Policy Note on Land Administration,Achim Fock,Africa,Ethiopia,Agriculture and Food,,null,Closed,,2011,
P122065,West Africa Agricultural Productivity Program APL (WAAPP-1C),West Africa Agric Prod Progrm (WAAPP-1C),"Aifa Fatimata Ndoye Niane, Erick Herman Abiassi, Amadou Ba",Africa,Western Africa,Agriculture and Food,,83.8,Closed,,2011,2020
P120028,Community Agricultural Resource Management and Competitiveness Project,Community Agri. Res. Managem. and Comp.,"Arusyak Alaverdyan, Bekzod Shamsiev",Europe And Central Asia,Armenia,Agriculture and Food,,16,Closed,,2011,2017
P115886,Agricultural Productivity and Diversification,BJ: Agricultural Diversification,Erick Herman Abiassi,Africa,Benin,Agriculture and Food,,31,Active,,2011,2021
P118307,Assessment of the Vulnerability to and Impacts of Climate Change on Brazilian Agriculture,BR Climate Change,Erick C.M. Fernandes,Latin America And Caribbean,Brazil,Agriculture and Food,,null,Closed,,2011,
P112045,Bolivia Agricultural Public Expenditure Review,BO Agricultural PER,Svetlana Edmeades,Latin America And Caribbean,Bolivia,Agriculture and Food,,null,Closed,,2011,
P116557,First Development Policy Loan in support of the Plan Maroc Vert,MA-First DPL in support of the PMV,Mohamed Medouar,Middle East And North Africa,Morocco,Agriculture and Food,,205,Closed,,2011,2012
P125593,Partnership for Biosafety Risks Assesment and Regulation,Biosafety Risks Assesment and Regulation,Eija Pehu,Other,World,Agriculture and Food,,null,Active,,2011,
P107898,Gender integration in the WDR08 and and GAP,"Gender , WDR and GAP",Eija Pehu,Other,World,Agriculture and Food,,null,Closed,,2011,
P120398,AF On-Farm Water Management (OFWM),AF: ARTF-On-Farm Water Management (OFWM),Amanullah Alamzai,South Asia,Afghanistan,Agriculture and Food,,41,Closed,,2011,2020
